driver_id,status,operating_shift
D0001,ACTIVE,MORNING
D0002,ACTIVE,DAY
D0003,ACTIVE,EVENING
D0004,ACTIVE,MORNING
D0005,ACTIVE,DAY
D0006,ACTIVE,EVENING
D0007,ACTIVE,MORNING
D0008,ACTIVE,DAY
D0009,ACTIVE,EVENING
D0010,ACTIVE,MORNING
D0011,ACTIVE,DAY
D0012,ACTIVE,EVENING
D0013,ACTIVE,MORNING
D0014,ACTIVE,DAY
D0015,ACTIVE,EVENING
D0016,ACTIVE,MORNING
D0017,ACTIVE,DAY
D0018,ACTIVE,EVENING
D0019,ACTIVE,MORNING
D0020,ACTIVE,DAY
D0021,ACTIVE,EVENING
D0022,ACTIVE,MORNING
D0023,ACTIVE,DAY
D0024,ACTIVE,EVENING
D0025,ACTIVE,MORNING
D0026,ACTIVE,DAY
D0027,ACTIVE,EVENING
D0028,ACTIVE,MORNING
D0029,ACTIVE,DAY
D0030,ACTIVE,EVENING
D0031,ACTIVE,MORNING
D0032,ACTIVE,DAY
D0033,ACTIVE,EVENING
D0034,ACTIVE,MORNING
D0035,ACTIVE,DAY
D0036,ACTIVE,EVENING
D0037,ACTIVE,MORNING
D0038,ACTIVE,DAY
D0039,ACTIVE,EVENING
D0040,ACTIVE,MORNING
D0041,ACTIVE,DAY
D0042,ACTIVE,EVENING
D0043,ACTIVE,MORNING
D0044,ACTIVE,DAY
D0045,ACTIVE,EVENING
D0046,ACTIVE,MORNING
D0047,ACTIVE,DAY
D0048,ACTIVE,EVENING
D0049,ACTIVE,MORNING
D0050,ACTIVE,DAY
D0051,ACTIVE,EVENING
D0052,ACTIVE,MORNING
D0053,ACTIVE,DAY
D0054,ACTIVE,EVENING
D0055,ACTIVE,MORNING
D0056,ACTIVE,DAY
D0057,ACTIVE,EVENING
D0058,ACTIVE,MORNING
D0059,ACTIVE,DAY
D0060,ACTIVE,EVENING
