event_id,trip_id,timestamp,snapshot_index,trip_progress_pct,need_service,resolved_service_type,service_type,reason_code,request_source,requested_service_type,allowed_service_types,request_valid,current_soc_pct,estimated_remaining_range_km,remaining_trip_distance_km,safety_reserve_km,vehicle_id,vehicle_model,vehicle_type,swap_supported,charging_supported,public_swap_compatible,installed_battery_modules,battery_capacity_kwh,usable_capacity_kwh,consumption_wh_per_km,minimum_safe_soc_pct,charging_interface_class,battery_type,split
DE000001,T0001,2026-09-01T06:06:40.768790399+07:00,1,8.0,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.944,260.49,3.254,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000002,T0001,2026-09-01T06:06:40.768790399+07:00,1,8.0,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.944,260.49,3.254,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000003,T0001,2026-09-01T06:06:40.768790399+07:00,1,8.0,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.944,260.49,3.254,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000004,T0001,2026-09-01T06:07:32.140897500+07:00,2,19.76,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.808,260.08,2.839,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000005,T0001,2026-09-01T06:07:32.140897500+07:00,2,19.76,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.808,260.08,2.839,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000006,T0001,2026-09-01T06:07:32.140897500+07:00,2,19.76,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.808,260.08,2.839,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000007,T0001,2026-09-01T06:08:08.936772+07:00,3,31.07,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.678,259.68,2.438,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000008,T0001,2026-09-01T06:08:08.936772+07:00,3,31.07,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.678,259.68,2.438,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000009,T0001,2026-09-01T06:08:08.936772+07:00,3,31.07,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.678,259.68,2.438,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000010,T0001,2026-09-01T06:08:44.977027714+07:00,4,42.39,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.547,259.28,2.038,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000011,T0001,2026-09-01T06:08:44.977027714+07:00,4,42.39,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.547,259.28,2.038,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000012,T0001,2026-09-01T06:08:44.977027714+07:00,4,42.39,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.547,259.28,2.038,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000013,T0001,2026-09-01T06:09:25.374317624+07:00,5,54.31,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.409,258.86,1.616,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000014,T0001,2026-09-01T06:09:25.374317624+07:00,5,54.31,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.409,258.86,1.616,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000015,T0001,2026-09-01T06:09:25.374317624+07:00,5,54.31,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.409,258.86,1.616,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000016,T0001,2026-09-01T06:10:07.527992368+07:00,6,66.85,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.265,258.41,1.173,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000017,T0001,2026-09-01T06:10:07.527992368+07:00,6,66.85,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.265,258.41,1.173,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000018,T0001,2026-09-01T06:10:07.527992368+07:00,6,66.85,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.265,258.41,1.173,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000019,T0001,2026-09-01T06:10:46.140895714+07:00,7,78.92,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,84.126,257.99,0.746,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000020,T0001,2026-09-01T06:10:46.140895714+07:00,7,78.92,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,84.126,257.99,0.746,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000021,T0001,2026-09-01T06:10:46.140895714+07:00,7,78.92,True,,BATTERY_SWAP,UNSUPPORTED_SERVICE,DRIVER_REQUEST,BATTERY_SWAP,['CHARGING'],False,84.126,257.99,0.746,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000022,T0001,2026-09-01T06:11:39.196494623+07:00,8,92.21,False,,,SUFFICIENT_SOC_RANGE,AUTO_DETECTED,,['CHARGING'],,83.972,257.52,0.276,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
DE000023,T0001,2026-09-01T06:11:39.196494623+07:00,8,92.21,True,CHARGING,CHARGING,VALID_REQUEST,DRIVER_REQUEST,CHARGING,['CHARGING'],True,83.972,257.52,0.276,1.0,V0001,VF_3,EV_CAR,False,True,False,,18.64,17.15,150.0,15.0,CCS2_TYPE2,FIXED_TRACTION_PACK,train
