event_id,trip_id,vehicle_id,timestamp,request_source,need_service,resolved_service_type,requested_service_type,allowed_service_types,request_valid,reason_code,current_soc_pct,estimated_remaining_range_km,remaining_trip_distance_km,safety_reserve_km,vehicle_model,vehicle_type,battery_capacity_kwh,usable_capacity_kwh,installed_battery_modules,swap_supported,charging_supported,public_swap_compatible,split
DE000001,T0001,V0001,2026-09-01T06:06:40.768790399+07:00,AUTO_DETECTED,False,,,['CHARGING'],,SUFFICIENT_SOC_RANGE,84.944,260.49,3.254,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000002,T0001,V0001,2026-09-01T06:06:40.768790399+07:00,DRIVER_REQUEST,True,CHARGING,CHARGING,['CHARGING'],True,VALID_REQUEST,84.944,260.49,3.254,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000003,T0001,V0001,2026-09-01T06:06:40.768790399+07:00,DRIVER_REQUEST,True,,BATTERY_SWAP,['CHARGING'],False,UNSUPPORTED_SERVICE,84.944,260.49,3.254,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000004,T0001,V0001,2026-09-01T06:07:32.140897500+07:00,AUTO_DETECTED,False,,,['CHARGING'],,SUFFICIENT_SOC_RANGE,84.808,260.08,2.839,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000005,T0001,V0001,2026-09-01T06:07:32.140897500+07:00,DRIVER_REQUEST,True,CHARGING,CHARGING,['CHARGING'],True,VALID_REQUEST,84.808,260.08,2.839,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000006,T0001,V0001,2026-09-01T06:07:32.140897500+07:00,DRIVER_REQUEST,True,,BATTERY_SWAP,['CHARGING'],False,UNSUPPORTED_SERVICE,84.808,260.08,2.839,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000007,T0001,V0001,2026-09-01T06:08:08.936772+07:00,AUTO_DETECTED,False,,,['CHARGING'],,SUFFICIENT_SOC_RANGE,84.678,259.68,2.438,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000008,T0001,V0001,2026-09-01T06:08:08.936772+07:00,DRIVER_REQUEST,True,CHARGING,CHARGING,['CHARGING'],True,VALID_REQUEST,84.678,259.68,2.438,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000009,T0001,V0001,2026-09-01T06:08:08.936772+07:00,DRIVER_REQUEST,True,,BATTERY_SWAP,['CHARGING'],False,UNSUPPORTED_SERVICE,84.678,259.68,2.438,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000010,T0001,V0001,2026-09-01T06:08:44.977027714+07:00,AUTO_DETECTED,False,,,['CHARGING'],,SUFFICIENT_SOC_RANGE,84.547,259.28,2.038,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000011,T0001,V0001,2026-09-01T06:08:44.977027714+07:00,DRIVER_REQUEST,True,CHARGING,CHARGING,['CHARGING'],True,VALID_REQUEST,84.547,259.28,2.038,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000012,T0001,V0001,2026-09-01T06:08:44.977027714+07:00,DRIVER_REQUEST,True,,BATTERY_SWAP,['CHARGING'],False,UNSUPPORTED_SERVICE,84.547,259.28,2.038,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
DE000013,T0001,V0001,2026-09-01T06:09:25.374317624+07:00,AUTO_DETECTED,False,,,['CHARGING'],,SUFFICIENT_SOC_RANGE,84.409,258.86,1.616,1.0,VF_3,EV_CAR,18.64,17.15,,False,True,False,train
