station_id,access_node_id,latitude,longitude,access_latitude,access_longitude,station_type,connector_type,battery_type,supported_vehicle_type,total_slots,charging_slots,swap_slots
S001,N0065258,21.0902138,105.7574818,21.0902138,105.7574818,CHARGING,CCS2_TYPE2,,EV_CAR,6,6,0
S002,N0139058,21.0156258,105.7807292,21.0156258,105.7807292,CHARGING,CCS2_TYPE2,,EV_CAR,8,8,0
S003,N0049679,21.031182,105.859004,21.031182,105.859004,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,10,0,10
S004,N0012748,21.0158275,105.7962649,21.0158275,105.7962649,CHARGING,CCS2_TYPE2,,EV_CAR,4,4,0
S005,N0266240,21.0604297,105.8209002,21.0604297,105.8209002,CHARGING_SWAP,VINFAST_MOTORCYCLE_CHARGING;CCS2_TYPE2,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE;EV_CAR,6,3,3
S006,N0107264,21.0324884,105.7606718,21.0324884,105.7606718,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,8,0,8
S007,N0217184,21.0082618,105.9360034,21.0082618,105.9360034,CHARGING,CCS2_TYPE2,,EV_CAR,10,10,0
S008,N0071064,20.9764085,105.7675858,20.9764085,105.7675858,CHARGING,CCS2_TYPE2,,EV_CAR,4,4,0
S009,N0003895,21.0344402,105.9113179,21.0344402,105.9113179,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,6,0,6
S010,N0011935,21.0740488,105.8756726,21.0740488,105.8756726,CHARGING_SWAP,VINFAST_MOTORCYCLE_CHARGING;CCS2_TYPE2,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE;EV_CAR,8,4,4
S011,N0008634,21.0566396,105.8998039,21.0566396,105.8998039,CHARGING,CCS2_TYPE2,,EV_CAR,10,10,0
S012,N0004732,21.022215,105.8368905,21.022215,105.8368905,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,4,0,4
S013,N0054742,21.1179173,105.8296935,21.1179173,105.8296935,CHARGING,CCS2_TYPE2,,EV_CAR,6,6,0
S014,N0231258,20.8917723,105.9641152,20.8917723,105.9641152,CHARGING,CCS2_TYPE2,,EV_CAR,8,8,0
S015,N0198892,21.1013719,105.9839829,21.1013719,105.9839829,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,10,0,10
S016,N0031323,20.9921118,105.8429362,20.9921118,105.8429362,CHARGING,CCS2_TYPE2,,EV_CAR,4,4,0
S017,N0005113,21.0100044,105.8311532,21.0100044,105.8311532,CHARGING,CCS2_TYPE2,,EV_CAR,6,6,0
S018,N0009281,21.0695063,105.9067306,21.0695063,105.9067306,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,8,0,8
S019,N0108665,21.0277672,105.8823843,21.0277672,105.8823843,CHARGING,CCS2_TYPE2,,EV_CAR,10,10,0
S020,N0203776,20.8869108,105.7777514,20.8869108,105.7777514,CHARGING_SWAP,VINFAST_MOTORCYCLE_CHARGING;CCS2_TYPE2,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE;EV_CAR,4,2,2
S021,N0004210,21.0348404,105.810305,21.0348404,105.810305,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,6,0,6
S022,N0002981,20.9748053,105.8454813,20.9748053,105.8454813,CHARGING,CCS2_TYPE2,,EV_CAR,8,8,0
S023,N0005829,20.9063718,105.9812793,20.9063718,105.9812793,CHARGING,CCS2_TYPE2,,EV_CAR,10,10,0
S024,N0088309,20.9805013,105.8638141,20.9805013,105.8638141,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,4,0,4
S025,N0084285,20.8973378,105.867874,20.8973378,105.867874,CHARGING_SWAP,VINFAST_MOTORCYCLE_CHARGING;CCS2_TYPE2,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE;EV_CAR,6,3,3
S026,N0185811,21.0360768,105.9587704,21.0360768,105.9587704,CHARGING,CCS2_TYPE2,,EV_CAR,8,8,0
S027,N0022037,21.0640148,105.7827027,21.0640148,105.7827027,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,10,0,10
S028,N0172875,20.9290687,105.9455989,20.9290687,105.9455989,CHARGING,CCS2_TYPE2,,EV_CAR,4,4,0
S029,N0132686,21.0798234,105.9346462,21.0798234,105.9346462,CHARGING,CCS2_TYPE2,,EV_CAR,6,6,0
S030,N0007139,21.0812059,105.8837677,21.0812059,105.8837677,SWAP,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,EV_MOTORBIKE,8,0,8
