event_id,trip_id,timestamp,snapshot_index,split,current_soc_pct,estimated_remaining_range_km,remaining_trip_distance_km,safety_reserve_km,consumption_wh_per_km,minimum_safe_soc_pct,battery_capacity_kwh,usable_capacity_kwh,charging_supported,swap_supported,vehicle_type,vehicle_model,trip_progress_pct
DE000001,T0001,2026-09-01T06:06:40.768790399+07:00,1,train,84.944,260.49,3.254,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,8.0
DE000004,T0001,2026-09-01T06:07:32.140897500+07:00,2,train,84.808,260.08,2.839,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,19.76
DE000007,T0001,2026-09-01T06:08:08.936772+07:00,3,train,84.678,259.68,2.438,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,31.07
DE000010,T0001,2026-09-01T06:08:44.977027714+07:00,4,train,84.547,259.28,2.038,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,42.39
DE000013,T0001,2026-09-01T06:09:25.374317624+07:00,5,train,84.409,258.86,1.616,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,54.31
DE000016,T0001,2026-09-01T06:10:07.527992368+07:00,6,train,84.265,258.41,1.173,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,66.85
DE000019,T0001,2026-09-01T06:10:46.140895714+07:00,7,train,84.126,257.99,0.746,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,78.92
DE000022,T0001,2026-09-01T06:11:39.196494623+07:00,8,train,83.972,257.52,0.276,1.0,150.0,15.0,18.64,17.15,True,False,EV_CAR,VF_3,92.21
DE000025,T0002,2026-09-01T06:12:59.973648+07:00,1,train,83.55,256.22,4.302,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,8.36
DE000028,T0002,2026-09-01T06:14:29.475520+07:00,2,train,83.36,255.64,3.72,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,20.75
DE000031,T0002,2026-09-01T06:15:50.271304+07:00,3,train,83.177,255.08,3.159,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,32.7
DE000034,T0002,2026-09-01T06:17:08.894307076+07:00,4,train,82.999,254.53,2.613,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,44.33
DE000037,T0002,2026-09-01T06:18:35.129992+07:00,5,train,82.804,253.93,2.014,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,57.09
DE000040,T0002,2026-09-01T06:19:54.822400+07:00,6,train,82.623,253.38,1.461,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,68.88
DE000043,T0002,2026-09-01T06:21:15.672136+07:00,7,train,82.44,252.82,0.899,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,80.84
DE000046,T0002,2026-09-01T06:22:36.505806999+07:00,8,train,82.257,252.26,0.338,1.0,150.0,15.0,37.23,34.25,True,False,EV_CAR,VF_5,92.8
DE000049,T0003,2026-09-01T06:18:53.642324999+07:00,1,validation,11.563,8.27,4.569,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,6.41
DE000053,T0003,2026-09-01T06:20:41.441412499+07:00,2,validation,10.677,7.64,3.935,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,19.4
DE000057,T0003,2026-09-01T06:22:39.349012499+07:00,3,validation,9.853,7.05,3.346,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,31.47
DE000061,T0003,2026-09-01T06:24:33.776412499+07:00,4,validation,9.053,6.48,2.774,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,43.19
DE000065,T0003,2026-09-01T06:26:06.844324999+07:00,5,validation,8.327,5.96,2.254,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,53.83
DE000069,T0003,2026-09-01T06:27:37.092981+07:00,6,validation,7.461,5.34,1.635,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,66.52
DE000073,T0003,2026-09-01T06:29:02.421265500+07:00,7,validation,6.611,4.73,1.026,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,78.99
DE000077,T0003,2026-09-01T06:30:22.687009875+07:00,8,validation,5.754,4.12,0.413,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,91.54
DE000081,T0004,2026-09-01T06:24:48.469104+07:00,1,train,17.89,54.86,3.774,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,8.19
DE000084,T0004,2026-09-01T06:25:58.840536+07:00,2,train,17.731,54.37,3.285,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,20.08
DE000087,T0004,2026-09-01T06:27:26.413844500+07:00,3,train,17.569,53.88,2.789,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,32.14
DE000090,T0004,2026-09-01T06:28:21.508355660+07:00,4,train,17.416,53.41,2.321,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,43.55
DE000093,T0004,2026-09-01T06:29:16.900256285+07:00,5,train,17.259,52.93,1.838,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,55.3
DE000096,T0004,2026-09-01T06:30:15.979163285+07:00,6,train,17.094,52.42,1.331,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,67.61
DE000099,T0004,2026-09-01T06:31:23.237796785+07:00,7,train,16.929,51.92,0.826,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,79.9
DE000102,T0004,2026-09-01T06:32:36.590244785+07:00,8,train,16.763,51.41,0.317,1.0,150.0,15.0,59.6,54.83,True,False,EV_CAR,VF_6,92.29
DE000105,T0005,2026-09-01T06:31:32.638486500+07:00,1,train,15.164,10.85,6.904,1.036,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,7.98
DE000109,T0005,2026-09-01T06:34:00.368550500+07:00,2,train,13.864,9.92,5.973,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,20.38
DE000113,T0005,2026-09-01T06:36:29.384038500+07:00,3,train,12.588,9.01,5.061,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,32.54
DE000117,T0005,2026-09-01T06:38:03.574740+07:00,4,train,11.393,8.15,4.205,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,43.94
DE000121,T0005,2026-09-01T06:40:13.689648+07:00,5,train,10.157,7.27,3.321,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,55.73
DE000125,T0005,2026-09-01T06:42:00.243694500+07:00,6,train,8.972,6.42,2.473,1.0,45.0,15.0,3.0,2.76,True,True,EV_MOTORBIKE,EVO,67.03
