trip_id,split
T0001,train
T0002,train
T0003,validation
T0004,train
T0005,train
T0006,train
T0007,train
T0008,train
T0009,train
T0010,train
T0011,test
T0012,train
T0013,test
T0014,test
T0015,train
T0016,train
T0017,train
T0018,train
T0019,train
T0020,train
T0021,train
T0022,train
T0023,train
T0024,train
T0025,train
T0026,train
T0027,train
T0028,validation
T0029,train
T0030,train
T0031,train
T0032,train
T0033,train
T0034,train
T0035,train
T0036,train
T0037,train
T0038,train
T0039,validation
T0040,train
T0041,train
T0042,train
T0043,train
T0044,train
T0045,train
T0046,train
T0047,validation
T0048,train
T0049,train
T0050,train
T0051,train
T0052,validation
T0053,test
T0054,train
T0055,train
T0056,validation
T0057,train
T0058,validation
T0059,train
T0060,test
T0061,train
T0062,test
T0063,validation
T0064,validation
T0065,train
T0066,train
T0067,test
T0068,train
T0069,train
T0070,train
T0071,test
T0072,train
T0073,train
T0074,train
T0075,test
T0076,train
T0077,train
T0078,train
T0079,train
T0080,train
T0081,train
T0082,train
T0083,train
T0084,test
T0085,test
T0086,validation
T0087,train
T0088,validation
T0089,train
T0090,train
T0091,train
T0092,train
T0093,test
T0094,train
T0095,train
T0096,train
T0097,test
T0098,train
T0099,train
T0100,train
T0101,test
T0102,train
T0103,validation
T0104,train
T0105,test
T0106,train
T0107,validation
T0108,validation
T0109,train
T0110,validation
T0111,train
T0112,train
T0113,train
T0114,train
T0115,train
T0116,train
T0117,train
T0118,train
T0119,test
T0120,train
T0121,test
T0122,train
T0123,test
T0124,validation
T0125,train
T0126,train
T0127,test
T0128,train
T0129,train
T0130,validation
T0131,test
T0132,train
T0133,train
T0134,train
T0135,train
T0136,train
T0137,validation
T0138,validation
T0139,train
T0140,train
T0141,validation
T0142,validation
T0143,test
T0144,train
T0145,validation
T0146,test
T0147,train
T0148,test
T0149,train
T0150,train
