trip_id,driver_id,vehicle_id,origin_node_id,destination_node_id,start_time,end_time,planned_network_distance_m,scenario_id
T0001,D0001,V0001,N0131468,N0117109,2026-09-01T06:06:00+07:00,2026-09-01T06:12:18.907387714+07:00,3537.6,NORMAL_TRIP
T0002,D0002,V0002,N0248520,N0096925,2026-09-01T06:12:00+07:00,2026-09-01T06:23:19.085058999+07:00,4694.5,NO_SERVICE_NEEDED
T0003,D0003,V0003,N0152511,N0028975,2026-09-01T06:18:00+07:00,2026-09-01T06:31:21.795826+07:00,4882.3,LOW_SOC
T0004,D0004,V0004,N0055149,N0018979,2026-09-01T06:24:00+07:00,2026-09-01T06:33:22.235364785+07:00,4110.6,NEED_CHARGING
T0005,D0003,V0003,N0206615,N0074448,2026-09-01T06:30:00+07:00,2026-09-01T06:48:20.788629+07:00,7502.0,NEED_SWAP
T0006,D0006,V0006,N0114426,N0158643,2026-09-01T06:36:00+07:00,2026-09-01T06:49:09.505158+07:00,5843.6,NEAREST_FULL
T0007,D0007,V0007,N0294891,N0294894,2026-09-01T06:42:00+07:00,2026-09-01T06:52:12.546999999+07:00,3062.7,STATION_OFFLINE
T0008,D0008,V0008,N0027883,N0042878,2026-09-01T06:48:00+07:00,2026-09-01T07:04:21.299477499+07:00,6800.9,INCOMPATIBLE_STATION
T0009,D0009,V0009,N0247922,N0280128,2026-09-01T06:54:00+07:00,2026-09-01T07:06:15.846368+07:00,4799.2,LONG_QUEUE
T0010,D0010,V0010,N0289327,N0289323,2026-09-01T07:00:00+07:00,2026-09-01T07:10:48.367487999+07:00,4502.6,FARTHER_BUT_FASTER
T0011,D0011,V0011,N0203351,N0081522,2026-09-01T07:06:00+07:00,2026-09-01T07:27:11.107943999+07:00,9016.8,HEAVY_TRAFFIC
T0012,D0012,V0012,N0041949,N0042011,2026-09-01T07:12:00+07:00,2026-09-01T07:25:19.497030857+07:00,6654.5,INSUFFICIENT_RANGE
T0013,D0013,V0013,N0128037,N0056538,2026-09-01T07:18:00+07:00,2026-09-01T07:25:29.829138857+07:00,3884.2,GPS_NOISE
T0014,D0014,V0014,N0307702,N0144053,2026-09-01T07:24:00+07:00,2026-09-01T07:43:03.227952+07:00,8333.7,GPS_MISSING
T0015,D0015,V0015,N0008743,N0029760,2026-09-01T07:30:00+07:00,2026-09-01T07:35:00.838383999+07:00,2045.9,PARALLEL_ROADS
T0016,D0016,V0016,N0064297,N0064309,2026-09-01T07:36:00+07:00,2026-09-01T07:59:02.895167999+07:00,7456.1,BRIDGE_AMBIGUITY
T0017,D0017,V0017,N0104908,N0104924,2026-09-01T07:42:00+07:00,2026-09-01T07:59:05.677872+07:00,7122.8,QUEUE_REALTIME_CHANGE
T0018,D0018,V0018,N0187119,N0127108,2026-09-01T07:48:00+07:00,2026-09-01T08:03:56.007975999+07:00,5547.6,TRAFFIC_REALTIME_CHANGE
T0019,D0019,V0019,N0296380,N0082859,2026-09-01T07:54:00+07:00,2026-09-01T08:14:31.658875+07:00,7189.0,STATION_STATUS_CHANGE
T0020,D0020,V0020,N0048699,N0048734,2026-09-01T08:00:00+07:00,2026-09-01T08:11:55.968936071+07:00,5225.9,NO_AVAILABLE_STATION
T0021,D0021,V0021,N0137391,N0232563,2026-09-01T08:06:00+07:00,2026-09-01T08:13:16.415447499+07:00,3245.0,NEAR_TIE_STATIONS
T0022,D0022,V0022,N0283951,N0134300,2026-09-01T08:12:00+07:00,2026-09-01T08:27:57.419005499+07:00,6656.5,NORMAL_TRIP
T0023,D0023,V0023,N0116016,N0253248,2026-09-01T08:18:00+07:00,2026-09-01T08:40:30.650031857+07:00,8677.0,NO_SERVICE_NEEDED
T0024,D0024,V0024,N0116788,N0113540,2026-09-01T08:24:00+07:00,2026-09-01T08:31:26.931905142+07:00,3094.2,LOW_SOC
