vehicle_model,vehicle_category,battery_architecture,battery_capacity_kwh,battery_module_capacity_kwh,max_battery_modules,charging_supported,swap_supported,public_swap_compatible,charging_interface_class,swap_battery_family,capability_source_class
VF_3,EV_CAR,FIXED_TRACTION_PACK,18.64,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_5,EV_CAR,FIXED_TRACTION_PACK,37.23,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
HERIO_GREEN,EV_CAR,FIXED_TRACTION_PACK,37.23,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_6,EV_CAR,FIXED_TRACTION_PACK,59.6,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_7_ECO,EV_CAR,FIXED_TRACTION_PACK,59.6,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_7_PLUS,EV_CAR,FIXED_TRACTION_PACK,75.3,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_8,EV_CAR,FIXED_TRACTION_PACK,87.7,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_9,EV_CAR,FIXED_TRACTION_PACK,123.0,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
VF_E34,EV_CAR,FIXED_TRACTION_PACK,41.9,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
NERIO_GREEN,EV_CAR,FIXED_TRACTION_PACK,41.9,,,True,False,False,CCS2_TYPE2,,VINFAST_OFFICIAL_BATTERY_SPEC
EVO200,EV_MOTORBIKE,FIXED_OR_INTEGRATED_LFP,3.5,,,True,False,False,VINFAST_MOTORCYCLE_CHARGING,,VINFAST_OFFICIAL_BATTERY_SPEC
EVO200_LITE,EV_MOTORBIKE,FIXED_OR_INTEGRATED_LFP,3.5,,,True,False,False,VINFAST_MOTORCYCLE_CHARGING,,VINFAST_OFFICIAL_BATTERY_SPEC
FELIZ_S,EV_MOTORBIKE,FIXED_OR_INTEGRATED_LFP,3.5,,,True,False,False,VINFAST_MOTORCYCLE_CHARGING,,VINFAST_OFFICIAL_BATTERY_SPEC
KLARA_S_2022,EV_MOTORBIKE,FIXED_OR_INTEGRATED_LFP,3.5,,,True,False,False,VINFAST_MOTORCYCLE_CHARGING,,VINFAST_OFFICIAL_BATTERY_SPEC
VENTO_S,EV_MOTORBIKE,FIXED_OR_INTEGRATED_LFP,3.5,,,True,False,False,VINFAST_MOTORCYCLE_CHARGING,,VINFAST_OFFICIAL_BATTERY_SPEC
EVO,EV_MOTORBIKE,REMOVABLE_SWAP_MODULE,,1.5,2.0,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_OFFICIAL_BATTERY_SPEC
EVO_LITE,EV_MOTORBIKE,REMOVABLE_SWAP_MODULE,,1.5,2.0,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_OFFICIAL_BATTERY_SPEC
FELIZ_II,EV_MOTORBIKE,REMOVABLE_SWAP_MODULE,,1.5,2.0,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_OFFICIAL_BATTERY_SPEC
VIPER,EV_MOTORBIKE,REMOVABLE_SWAP_MODULE,,1.5,2.0,True,True,True,VINFAST_MOTORCYCLE_CHARGING,VINFAST_SWAP_LFP_1_5_KWH,VINFAST_OFFICIAL_BATTERY_SPEC
