vehicle_id,driver_id,vehicle_type,vehicle_model,battery_architecture,battery_capacity_kwh,battery_module_capacity_kwh,max_battery_modules,installed_battery_modules,usable_capacity_kwh,consumption_wh_per_km,minimum_safe_soc_pct,charging_supported,swap_supported,public_swap_compatible,connector_type,battery_type,charging_interface_class,swap_battery_family
V0001,D0001,EV_CAR,VF_3,FIXED_TRACTION_PACK,18.64,,,,17.15,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0002,D0002,EV_CAR,VF_5,FIXED_TRACTION_PACK,37.23,,,,34.25,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0004,D0004,EV_CAR,VF_6,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0005,D0005,EV_CAR,VF_7_ECO,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0007,D0007,EV_CAR,VF_7_PLUS,FIXED_TRACTION_PACK,75.3,,,,69.28,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0008,D0008,EV_CAR,VF_8,FIXED_TRACTION_PACK,87.7,,,,80.68,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0010,D0010,EV_CAR,VF_9,FIXED_TRACTION_PACK,123.0,,,,113.16,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0011,D0011,EV_CAR,VF_E34,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0013,D0013,EV_CAR,NERIO_GREEN,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0014,D0014,EV_CAR,VF_3,FIXED_TRACTION_PACK,18.64,,,,17.15,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0016,D0016,EV_CAR,VF_5,FIXED_TRACTION_PACK,37.23,,,,34.25,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0017,D0017,EV_CAR,VF_6,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0019,D0019,EV_CAR,VF_7_ECO,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0020,D0020,EV_CAR,VF_7_PLUS,FIXED_TRACTION_PACK,75.3,,,,69.28,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0022,D0022,EV_CAR,VF_8,FIXED_TRACTION_PACK,87.7,,,,80.68,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0023,D0023,EV_CAR,VF_9,FIXED_TRACTION_PACK,123.0,,,,113.16,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0025,D0025,EV_CAR,VF_E34,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0026,D0026,EV_CAR,NERIO_GREEN,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0028,D0028,EV_CAR,VF_3,FIXED_TRACTION_PACK,18.64,,,,17.15,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0029,D0029,EV_CAR,VF_5,FIXED_TRACTION_PACK,37.23,,,,34.25,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0031,D0031,EV_CAR,VF_6,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0032,D0032,EV_CAR,VF_7_ECO,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0034,D0034,EV_CAR,VF_7_PLUS,FIXED_TRACTION_PACK,75.3,,,,69.28,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0035,D0035,EV_CAR,VF_8,FIXED_TRACTION_PACK,87.7,,,,80.68,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0037,D0037,EV_CAR,VF_9,FIXED_TRACTION_PACK,123.0,,,,113.16,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0038,D0038,EV_CAR,VF_E34,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0040,D0040,EV_CAR,NERIO_GREEN,FIXED_TRACTION_PACK,41.9,,,,38.55,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0041,D0041,EV_CAR,VF_3,FIXED_TRACTION_PACK,18.64,,,,17.15,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0043,D0043,EV_CAR,VF_5,FIXED_TRACTION_PACK,37.23,,,,34.25,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0044,D0044,EV_CAR,VF_6,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0046,D0046,EV_CAR,VF_7_ECO,FIXED_TRACTION_PACK,59.6,,,,54.83,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
V0047,D0047,EV_CAR,VF_7_PLUS,FIXED_TRACTION_PACK,75.3,,,,69.28,150,15,True,False,False,CCS2_TYPE2,FIXED_TRACTION_PACK,CCS2_TYPE2,
